web-scraper-order,web-scraper-start-url,containers_links3,containers_links3-href,Nbre_pieces,nbre_salle_bain,superficie,adresse
"1752362133-43","https://sn.coinafrique.com/categorie/appartements","Location appartement 3 pièces - Corniche Ouakam","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-corniche-ouakam-5391958","3","","","Ouakam, Dakar, Sénégal"
"1752362140-44","https://sn.coinafrique.com/categorie/appartements","Location appartement duplex - Sacré-coeur","https://sn.coinafrique.com/annonce/appartements/location-appartement-duplex-sacre-coeur-5391968","5","","","Sacré-Coeur, Dakar, Sénégal"
"1752362148-45","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-almadies-5395181","4","2","150","Almadies, Dakar, Sénégal"
"1752362157-46","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Ouakam","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-ouakam-5395174","4","2","100","Ouakam, Dakar, Sénégal"
"1752362166-47","https://sn.coinafrique.com/categorie/appartements","Vente appartement penthouse 6 pièces - Almadies","https://sn.coinafrique.com/annonce/appartements/vente-appartement-penthouse-6-pieces-almadies-5386766","6","4","400","Almadies, Dakar, Sénégal"
"1752362177-48","https://sn.coinafrique.com/categorie/appartements","Location appartements 3pièces -Ngor Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartements-3pieces-ngor-almadies-5395197","3","1","95","Ngor, Dakar, Sénégal"
"1752362185-49","https://sn.coinafrique.com/categorie/appartements","Location appartements 4pièces -Sacré-coeur keur goorgui","https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-sacre-coeur-keur-goorgui-5390249","4","2","110","Sacré-Coeur, Dakar, Sénégal"
"1752362190-50","https://sn.coinafrique.com/categorie/appartements","Location appartement 4 pièces - Mermoz","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-5403167","4","350 m2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752362195-51","https://sn.coinafrique.com/categorie/appartements","Vente appartements 4 pièces à Ngaparou","https://sn.coinafrique.com/annonce/appartements/vente-appartements-4-pieces-a-ngaparou-5384181","4","4","218","Ngaparou, Sénégal"
"1752362200-52","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mamelles-5392014","3","2","130","Mamelles, Dakar, Sénégal"
"1752362206-53","https://sn.coinafrique.com/categorie/appartements","Vente appartement 4pièces -Corniche","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4pieces-corniche-5418901","4","6","247 m2","Fann, Dakar, Sénégal"
"1752362211-54","https://sn.coinafrique.com/categorie/appartements","Location appartement 4pièces -Zone B","https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-zone-b-5418907","3","4","","Point E, Dakar, Sénégal"
"1752362218-55","https://sn.coinafrique.com/categorie/appartements","Location appartements 4pièces -Yoff onomo","https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-yoff-onomo-5390261","4","3","100","Yoff, Dakar, Sénégal"
"1752362226-56","https://sn.coinafrique.com/categorie/appartements","Location appartement -Fann","https://sn.coinafrique.com/annonce/appartements/location-appartement-fann-5418916","4","6","","Point E, Dakar, Sénégal"
"1752362233-57","https://sn.coinafrique.com/categorie/appartements","Location appartement 5pièces -Mermoze","https://sn.coinafrique.com/annonce/appartements/location-appartement-5pieces-mermoze-5417189","5","350 m2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752362240-58","https://sn.coinafrique.com/categorie/appartements","Location appartement 3pièces -Fass","https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-fass-5399148","3","2","","Fass, Dakar, Sénégal"
"1752362246-59","https://sn.coinafrique.com/categorie/appartements","Location studio -Fass","https://sn.coinafrique.com/annonce/appartements/location-studio-fass-5399151","1","1","","Fass, Dakar, Sénégal"
"1752362251-60","https://sn.coinafrique.com/categorie/appartements","Vente appartements -Mermoze","https://sn.coinafrique.com/annonce/appartements/vente-appartements-mermoze-5418945","3","4","168 m2","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752362259-61","https://sn.coinafrique.com/categorie/appartements","Location studio -Medina Blaise Diag...","https://sn.coinafrique.com/annonce/appartements/location-studio-medina-blaise-diagne-5399160","2","2","","Medina, Dakar, Sénégal"
"1752362266-62","https://sn.coinafrique.com/categorie/appartements","Location penthouse -Almadie","https://sn.coinafrique.com/annonce/appartements/location-penthouse-almadie-5418984","5","7","400 m2","Almadies, Dakar, Sénégal"
"1752362272-63","https://sn.coinafrique.com/categorie/appartements","Location studio -Ouest-foire","https://sn.coinafrique.com/annonce/appartements/location-studio-ouest-foire-5420335","2","2","55 m2","Ouest Foire, Dakar, Sénégal"
"1752362279-64","https://sn.coinafrique.com/categorie/appartements","Location appartement 4pièces -Sipress VDN","https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-sipress-vdn-5399238","3","1","150 m2","Ouest Foire, Dakar, Sénégal"
"1752362286-65","https://sn.coinafrique.com/categorie/appartements","Location studio -Ngor Virage","https://sn.coinafrique.com/annonce/appartements/location-studio-ngor-virage-5405222","2","1","100 m2","Dakar, Sénégal"
"1752362293-66","https://sn.coinafrique.com/categorie/appartements","Location appartement 4pièces - Dakar","https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-dakar-5405233","4","2","200 m2","Dakar, Sénégal"
"1752362299-67","https://sn.coinafrique.com/categorie/appartements","Location appartements 4pièces -Damel","https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-damel-5405220","4","3","133","Damel, Dakar, Sénégal"
"1752362304-68","https://sn.coinafrique.com/categorie/appartements","Location appartement 4pièces -Zone: Hann Mariste","https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-zone-hann-mariste-5399309","3","2","150 m2","Dakar, Sénégal"
"1752362310-69","https://sn.coinafrique.com/categorie/appartements","Location appartement 3pièces -Cité mbakiyou Faye","https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-cite-mbakiyou-faye-5410032","3","2","150 m2","Dakar, Sénégal"
"1752362316-70","https://sn.coinafrique.com/categorie/appartements","Vente studio -Almadie","https://sn.coinafrique.com/annonce/appartements/vente-studio-almadie-5410027","2","1","57 m2","Dakar, Sénégal"
"1752362324-71","https://sn.coinafrique.com/categorie/appartements","Location appartements 04pièces -Mariste","https://sn.coinafrique.com/annonce/appartements/location-appartements-04pieces-mariste-5419087","4","3","160","Mariste, Dakar, Sénégal"
"1752362330-72","https://sn.coinafrique.com/categorie/appartements","Location appartements 4pièces -Yoff onomo","https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-yoff-onomo-5417466","4","3","135","Yoff, Dakar, Sénégal"
"1752362335-73","https://sn.coinafrique.com/categorie/appartements","Location appartements 4pièces -Yoff onomo","https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-yoff-onomo-5417471","4","3","134","Yoff, Dakar, Sénégal"
"1752362340-74","https://sn.coinafrique.com/categorie/appartements","Location appartements 3pièces -Yoff ocean","https://sn.coinafrique.com/annonce/appartements/location-appartements-3pieces-yoff-ocean-5417479","3","2","130","Yoff, Dakar, Sénégal"
"1752362344-75","https://sn.coinafrique.com/categorie/appartements","Location studio 2pièces -Ngor","https://sn.coinafrique.com/annonce/appartements/location-studio-2pieces-ngor-5381113","2","2","126","Sacré-Coeur, Dakar, Sénégal"
"1752362350-76","https://sn.coinafrique.com/categorie/appartements","Location studio -Cité Keur Gorgui","https://sn.coinafrique.com/annonce/appartements/location-studio-cite-keur-gorgui-5399431","2","2","","Dakar, Sénégal"
"1752362357-77","https://sn.coinafrique.com/categorie/appartements","Location appartement 4pièces -Point E","https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-point-e-5405515","4","3","170 m2","Point E, Dakar, Sénégal"
"1752362362-78","https://sn.coinafrique.com/categorie/appartements","Vente appartement -Poiint E","https://sn.coinafrique.com/annonce/appartements/vente-appartement-poiint-e-5405518","4","3","170 m2","Point E, Dakar, Sénégal"
"1752362369-79","https://sn.coinafrique.com/categorie/appartements","Location appartements 4pièces -Alma...","https://sn.coinafrique.com/annonce/appartements/location-appartements-4pieces-almadies-5417551","4","150","","Almadies, Dakar, Sénégal"
"1752362374-80","https://sn.coinafrique.com/categorie/appartements","Location appartement 3pièces -Avenue blaise diagne","https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-avenue-blaise-diagne-5405524","3","2","","Medina, Dakar, Sénégal"
"1752362379-81","https://sn.coinafrique.com/categorie/appartements","Location appartement 4pièces -Mermoz","https://sn.coinafrique.com/annonce/appartements/location-appartement-4pieces-mermoz-5411931","4","3","200 m2","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752362382-82","https://sn.coinafrique.com/categorie/appartements","Location appartement 3pièces -Mermose  à louer à Mermoz","https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-mermose-a-louer-a-mermoz-5411979","3","110 m2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752362386-83","https://sn.coinafrique.com/categorie/appartements","Vente appartements 4 pièces - Rufisque","https://sn.coinafrique.com/annonce/appartements/vente-appartements-4-pieces-rufisque-5360189","4","2","124","Rufisque, Sénégal"
"1752362390-84","https://sn.coinafrique.com/categorie/appartements","Location appartements 3 pièces - aAmadie...","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-aamadies-4791185","3","3","150","Almadies, Dakar, Sénégal"
"1752362396-85","https://sn.coinafrique.com/categorie/appartements","Location appartements 4 pièces - Mermoz-...","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mermoz-sacre-coeur-5358826","4","3","174","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752362401-86","https://sn.coinafrique.com/categorie/appartements","Location appartement 4 pièces - Fenetre ...","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-fenetre-mermoz-5414550","4","","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752362406-87","https://sn.coinafrique.com/categorie/appartements","Location appartement 8pièces -Dakar","https://sn.coinafrique.com/annonce/appartements/location-appartement-8pieces-dakar-5413787","6","6","250 m2","Dakar, Sénégal"
"1752362411-88","https://sn.coinafrique.com/categorie/appartements","Location appartement 3 pièces - Yoff ape...","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-yoff-apecsy-5356287","3","","","Diamalaye 1, Dakar, Sénégal"
"1752362417-89","https://sn.coinafrique.com/categorie/appartements","Location appartement 3pièces -Medina bla...","https://sn.coinafrique.com/annonce/appartements/location-appartement-3pieces-medina-blaise-diagne-5399165","3","2","","Medina, Dakar, Sénégal"
"1752362423-90","https://sn.coinafrique.com/categorie/appartements","location appartements - almadies","https://sn.coinafrique.com/annonce/appartements/location-appartements-almadies-5301605","150","","","Almadies, Dakar, Sénégal"
"1752362432-91","https://sn.coinafrique.com/categorie/appartements","Location appartement  F5 - Ouakam","https://sn.coinafrique.com/annonce/appartements/location-appartement-f5-ouakam-5273917","5","","","Ouakam, Dakar, Sénégal"
"1752362439-92","https://sn.coinafrique.com/categorie/appartements","Location appartement 5pièces à Mboro","https://sn.coinafrique.com/annonce/appartements/location-appartement-5pieces-a-mboro-5348341","8","3","","Thies, Sénégal"
