web-scraper-order,web-scraper-start-url,container_data2,container_data2-href,superficie,price,adresse,image_link,image_link-href
"1752360728-22","https://sn.coinafrique.com/categorie/terrains","Terrain pied dans l'eau Yoff Virage","https://sn.coinafrique.com/annonce/terrains/terrain-pied-dans-leau-yoff-virage-5399023","900 m2","1 200 000 CFA","Yoff, Dakar, Sénégal","",""
"1752360731-23","https://sn.coinafrique.com/categorie/terrains","Terrain 7300m² industrielle Bel air","https://sn.coinafrique.com/annonce/terrains/terrain-7300m-industrielle-bel-air-5390202","7300 m2","Prix sur demande","Hann Bel-Air, Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               1 
               heure","https://sn.coinafrique.com/annonce/terrains/terrain-7300-m-hann-5395493"
"1752360737-24","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m² - Cité Kalia","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-cite-kalia-5415694","150 m2","40 000 000 CFA","Keur Massar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               5 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150-m-almadies-2-2384778"
"1752360743-25","https://sn.coinafrique.com/categorie/terrains","Terrain 300m² -Hangar pèlerin","https://sn.coinafrique.com/annonce/terrains/terrain-300m-hangar-pelerin-5399658","300 m2","150 000 000 CFA","Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               2 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-300m-hangar-pelerin-5399658"
"1752360748-26","https://sn.coinafrique.com/categorie/terrains","Terrains 150 m² -Cité Mansour dia","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-cite-mansour-dia-5399678","150 m2","2 000 000 CFA","Dakar, Sénégal","",""
"1752360751-27","https://sn.coinafrique.com/categorie/terrains","Terrains  150 m² -Yenne kandam","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-yenne-kandam-5399677","150 m2","2 000 000 CFA","Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               2 
               jours","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-yenne-kandam-5399677"
"1752360756-28","https://sn.coinafrique.com/categorie/terrains","Terrain 180 m² Sicap keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-180-m-sicap-keur-massar-5416248","","18 000 000 CFA","Keur Massar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               2 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-180-m-sicap-keur-massar-5416248"
"1752360763-29","https://sn.coinafrique.com/categorie/terrains","Terrains 200m²  - Almadies - zone de recasement","https://sn.coinafrique.com/annonce/terrains/terrains-200m-almadies-zone-de-recasement-5410912","200","150 000 000 CFA","Almadies, Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               2 
               jours","https://sn.coinafrique.com/annonce/terrains/terrains-200m-almadies-zone-de-recasement-5410912"
"1752360768-30","https://sn.coinafrique.com/categorie/terrains","Terrain 150m²  - Keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-5416562","150","7 000 000 CFA","Keur Massar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               2 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-5416562"
"1752360773-31","https://sn.coinafrique.com/categorie/terrains","Champ de 2 hectares à Sandiara","https://sn.coinafrique.com/annonce/terrains/champ-de-2-hectares-a-sandiara-5411049","20000 m2","25 000 000 CFA","Mbour, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               7 
               mois","https://sn.coinafrique.com/annonce/terrains/terrain-1000-m-mbour-5074676"
"1752360779-32","https://sn.coinafrique.com/categorie/terrains","terrain à Ngor almadies","https://sn.coinafrique.com/annonce/terrains/terrain-a-ngor-almadies-5406530","563","650 000 000 CFA","Ngor, Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               2 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-a-ngor-almadies-5406530"
"1752360786-33","https://sn.coinafrique.com/categorie/terrains","Terrains à Diass","https://sn.coinafrique.com/annonce/terrains/terrains-a-diass-5386593","150 m2","2 500 000 CFA","Point E, Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               5 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-diass-1768408"
"1752360795-34","https://sn.coinafrique.com/categorie/terrains","Terrains 300m²  à Malicounda","https://sn.coinafrique.com/annonce/terrains/terrains-300m-a-malicounda-5386599","300 m2","2 600 000 CFA","Malikounda, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               9 
               mois","https://sn.coinafrique.com/annonce/terrains/terrain-300m-malicounda-4928130"
"1752360804-35","https://sn.coinafrique.com/categorie/terrains","Terrain 180 m² - Tougouni","https://sn.coinafrique.com/annonce/terrains/terrain-180-m-tougouni-5417235","180 m2","2 500 000 CFA","Thies, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               2 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-180-m-tougouni-5417235"
"1752360811-36","https://sn.coinafrique.com/categorie/terrains","Terrains 24114m² - Mbao","https://sn.coinafrique.com/annonce/terrains/terrains-24114m-mbao-5417274","24114","6 000 CFA","Mbao, Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               2 
               jours","https://sn.coinafrique.com/annonce/terrains/terrains-24114m-mbao-5417274"
"1752360817-37","https://sn.coinafrique.com/categorie/terrains","Terrains 300m² - Mboro","https://sn.coinafrique.com/annonce/terrains/terrains-300m-mboro-5417351","300","7 500 000 CFA","Mboro, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               2 
               jours","https://sn.coinafrique.com/annonce/terrains/terrains-300m-mboro-5417351"
"1752360824-38","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m² - Thiès","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-thies-5417413","150","15 000 000 CFA","Thies, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               2 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-thies-5417413"
"1752360832-39","https://sn.coinafrique.com/categorie/terrains","Terrains  à Dias","https://sn.coinafrique.com/annonce/terrains/terrains-a-dias-5407719","300 m2","3 500 000 CFA","Dakar, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               5 
               mois","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-kounoune-5148920"
"1752360839-40","https://sn.coinafrique.com/categorie/terrains","Terrain  920m² - Louly","https://sn.coinafrique.com/annonce/terrains/terrain-920m-louly-5418425","10920 m2","80 000 000 CFA","Mbour, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               1 
               jour","https://sn.coinafrique.com/annonce/terrains/terrain-920m-louly-5418425"
"1752360844-41","https://sn.coinafrique.com/categorie/terrains","Terrain 300m² - Cité Apix","https://sn.coinafrique.com/annonce/terrains/terrain-300m-cite-apix-5393250","300","10 000 000 CFA","Niaga, Sénégal","favorite_border 
      
    
            
              
              
            
            
              
               4 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-2576343"
